feature,importance
rr_repeat,237232.63120508194
in_repeat,52816.87533569336
ui_n_cart,38295.82984209061
ui_n_view,16455.854182243347
n_sources,16165.928968906403
ub_share,13867.495759010315
i_n_buyers,7617.800659656525
rr_two_tower,6297.660449504852
i_pop,5479.2718052864075
uc_share,5441.805567264557
ui_purchase_rate,4974.721510410309
ui_days_since,4798.675751686096
score_two_tower,4543.568571567535
cat_due_ratio,4239.166472434998
is_replenishable,3824.394284725189
i_log_price,3186.937180995941
u_mean_price,3123.2642726898193
price_ratio,3053.750370979309
i_repeat_intensity,2898.478183746338
u_freq,2546.1975865364075
u_repeat_ratio,2531.593144416809
rr_item_knn,2382.6984021663666
u_n_purchase,1798.0696783065796
u_n_distinct,1749.7698454856873
uc_days_since,1648.1169452667236
u_days_since,1497.5872354507446
ui_due_ratio,1490.9699001312256
ui_mean_gap,1352.4980926513672
uc_n,1318.8893194198608
ui_qty,1243.815502166748
ui_cart_rate,1125.3755767345428
u_n_categories,898.4278402328491
rr_popularity,433.02433013916016
ui_n_purchase,358.40385341644287
ub_n,199.30113887786865
in_item_knn,43.21415996551514
in_two_tower,29.887598991394043
in_popularity,20.367000579833984
score_item_knn,0.0
score_repeat,0.0
is_known_item,0.0
score_popularity,0.0
